title,authors,average_rating,isbn,# num_pages
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,652
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,870
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,320
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,0439554896,352
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,435
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,0439682584,2690
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,0976540606,152
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,3342
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,815
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,0345453743,815
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,215
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,0739322206,6
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,0517149257,815
A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,544
Bill Bryson's African Diary,Bill Bryson,3.43,0767915062,55
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,0767910435,256
In a Sunburned Country,Bill Bryson,4.07,0767903862,335
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,304
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,299
Neither Here nor There: Travels in Europe,Bill Bryson,3.87,0380713802,254
Notes from a Small Island,Bill Bryson,3.92,0380727501,324
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,0380715430,270
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,1728
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618517650,1184
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618346244,1137
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,0618346252,398
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,0618260587,1216
The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,0618391002,218
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,224
The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,0618153977,1223
Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,288
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,558
Hatchet,Gary Paulsen,3.7,0689840926,208
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,48
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,0385326505,144
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,56
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,228
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,304
Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,256
The Changeling Sea,Patricia A. McKillip,4.07,0141312629,137
The Changeling,Zilpha Keatley Snyder,4.17,0595321801,228
The Changeling,Kate Horsley,3.56,1590301943,339
The Changeling (Daughters of England  #15),Philippa Carr,3.99,0449146979,369
The Known World,Edward P. Jones,3.83,0061159174,388
The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,14
The Known World,Edward P. Jones,3.83,0060749911,576
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,334
Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,352
The Known World,Edward P. Jones,3.83,096513671X,388
The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,0374517193,416
Uncommon Carriers,John McPhee,3.95,0374280398,248
Heirs of General Practice,John McPhee,4.15,0374519749,128
The Control of Nature,John McPhee,4.24,0374522596,288
Annals of the Former World,John McPhee,4.33,0374518734,720
Coming Into the Country,John McPhee,4.22,0374522871,448
La Place de la Concorde Suisse,John McPhee,3.91,0374519323,160
Giving Good Weight,John McPhee,4.22,0374516006,288
Rising from the Plains,John McPhee,4.22,0374520658,208
The Heidi Chronicles,Wendy Wasserstein,3.73,0822205106,81
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,0679734996,249
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,138
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,128
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,0800793617,192
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,0871202867,72
Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,0753454947,352
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,0871209993,192
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,192
What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,0761129588,832
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,0972016414,123
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,128
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,0441294677,423
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,0441102670,436
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,0441172695,331
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.0,0765306476,592
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,0399128980,480
The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,0765353709,426
Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,0441104029,408
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,0441328008,471
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,544
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,291
The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,0785260056,256
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,0471780936,205
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,0325001537,240
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,336
eBay for Dummies,Marsha Collier,3.5,0470045299,386
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,0072262788,260
Starting an eBay Business for Dummies,Marsha Collier,3.52,0764569244,384
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,260
ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,0764559915,391
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,864
Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,0596523696,873
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,0806523492,240
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,206
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,0596527314,514
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,0143035002,838
Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,0451528611,960
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,0140449175,837
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,0822001837,80
Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,803
Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,0486437965,752
Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,803
Dinner with Anna Karenina,Gloria Goldreich,2.96,0778322270,368
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,128
Untouchable,Mulk Raj Anand-E.M. Forster,3.7,0140183957,160
The Untouchable,John Banville,3.96,0679767479,367
The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,256
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,320
Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,0932863051,100
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,0742508803,224
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,216
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,48
Wrinkles in Time,George Smoot-Keay Davidson,3.99,0380720442,360
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,0821925326,250
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,32
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,0606105263,205
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,0751506435,367
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,352
Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,0743499344,320
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,331
New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,244
Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,215
Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,191
I am Charlotte Simmons,Tom Wolfe,3.41,0312424442,738
Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,0806930772,48
The Puffin Book of Nonsense Verse,Quentin Blake,4.04,0140366601,287
Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,0811201120,217
Quiet Days in Clichy,Henry Miller,3.69,080213016X,154
Tropic of Cancer,Henry Miller-Jiří Níl,3.69,0802131786,318
Tropic of Capricorn,Henry Miller,3.82,0802151825,348
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,0802151787,316
Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,0802151809,506
The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,292
The Portrait of a Lady,Henry James-Patricia Crick,3.77,0141439637,797
The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,635
The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,0375700528,117
The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,192
The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,0394743040,181
Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,133
L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,246
Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,178
Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,464
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,102
Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,0394431243,216
The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,0806501901,132
Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,100
Treasure Island,Robert Louis Stevenson,3.83,0753453800,311
Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,213
Treasure Island,Robert Louis Stevenson,3.83,1416500294,245
Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,0689854684,64
Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,0517221144,272
Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,232
Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,796
100 Years of Lynchings,Ralph Ginzburg,4.63,0933121180,270
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,0060531045,417
Cien años de soledad,Gabriel García Márquez,4.06,0785950109,448
Cien años de soledad,Gabriel García Márquez,4.06,8423919005,456
On Beyond Zebra!,Dr. Seuss,4.04,0394800842,64
The Wedding Clause,Debbie Raleigh,3.58,0821778250,256
The Zebra Wall,Kevin Henkes,3.46,0060733039,147
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,239
Jitterbug Perfume,Tom Robbins,4.24,0553348981,352
Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,0140120831,263
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,738
The Door Into Summer,Robert A. Heinlein,4.01,0345413997,304
The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,0312863551,382
Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,528
The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,56
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,434
Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,439
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,256
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,307
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,0345455290,298
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,0345418778,240
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,368
Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,256
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,336
The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,0394820371,256
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,0573650969,72
On Bullshit,Harry G. Frankfurt,3.57,0691122946,67
Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,347
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,0671867423,317
The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,0395883970,32
Underworld,Don DeLillo,3.92,0684848155,827
Libra,Don DeLillo,3.99,0140156046,480
Mao II,Don DeLillo,3.68,0140152741,254
Americana,Don DeLillo,3.43,0140119485,377
Running Dog,Don DeLillo,3.42,0679722947,256
Cosmopolis,Don DeLillo,3.22,0743244257,224
Great Jones Street,Don DeLillo,3.48,0140179178,272
The Names,Don DeLillo,3.64,0679722955,339
Against the Day,Thomas Pynchon,4.12,159420120X,1085
V.,Thomas Pynchon,3.96,0060930217,547
The Crying of Lot 49,Thomas Pynchon,3.7,0060931671,152
Gravity's Rainbow,Thomas Pynchon,4.02,0140283382,784
Mason & Dixon,Thomas Pynchon,4.06,0312423209,773
Vineland,Thomas Pynchon,3.68,0141180633,385
Gravity's Rainbow,Thomas Pynchon,4.02,0143039946,776
Slow Learner: Early Stories,Thomas Pynchon,3.5,0316724432,193
Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,0140189300,352
The Year of Magical Thinking,Joan Didion,3.88,140004314X,227
The White Album,Joan Didion,4.17,0374522219,222
A Book of Common Prayer,Joan Didion,3.8,0679754865,272
Where I Was From,Joan Didion,3.86,0679752862,240
Democracy,Joan Didion,3.81,0679754857,234
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,0307264874,1122
Play It as It Lays,Joan Didion-David Thomson,3.87,0374529949,231
The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,0143039830,308
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,0140097317,203
Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,96
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,0940650762,179
Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,0963188925,256
The Brooklyn Follies,Paul Auster,3.83,0312426232,306
Moon Palace,Paul Auster,3.98,0140115854,320
Timbuktu,Paul Auster,3.68,0312263996,181
Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,129
The Music of Chance,Paul Auster,3.9,0140154078,217
Travels in the Scriptorium,Paul Auster,3.23,0805081453,145
Leviathan,Paul Auster,3.95,0140178139,275
The Red Notebook: True Stories,Paul Auster,3.77,0811214982,104
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,2742741461,1075
Why Write?,Paul Auster,3.77,1886224145,58
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,0143036556,608
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,0446579785,211
Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,262
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,0743203046,544
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,272
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,0393318281,576
My Inventions,Nikola Tesla,4.01,1599869942,88
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,0806519606,542
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,0822549204,144
Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,0932813860,100
The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,0521437733,320
Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,0373792689,256
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,0974514055,828
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,0764585975,112
Lord of the Flies,William Golding,3.67,0307281701,6
Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,0399529209,336
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,0812969707,397
We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,0060255080,216
The Lovely Bones,Alice Sebold,3.79,0330485385,328
The Lovely Bones,Alice Sebold,3.79,159413023X,532
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,0345360354,224
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4.0,0321303474,296
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,0321430840,456
1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,575
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,0743264460,245
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,0743236017,272
Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,0965762645,310
Vice (V  #8),Jane Feather,3.51,0553572490,419
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,0060589469,540
Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,0802789471,32
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,0688060692,408
Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,222
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,191
The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,0451528808,304
War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,0192833987,1392
The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,0486451380,352
Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,0340837489,528
Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,0452011876,1168
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,0451163087,224
The Fountainhead,Ayn Rand,3.86,0452286751,752
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,0451163931,176
Anthem,Ayn Rand,3.63,0452281253,105
We the Living,Ayn Rand-Leonard Peikoff,3.91,0451187849,464
Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,0451147952,340
Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,0452274044,681
Sailing for Dummies,J.J. Isler-Peter Isler,3.94,0471791431,416
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,0553803816,368
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,0375755195,192
