title,authors,average_rating,isbn,# num_pages,library_url
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,652,https://openlibrary.org/books/OL24280830M/Harry_Potter_and_the_Half-Blood_Prince
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,870,https://openlibrary.org/books/OL24330394M/Harry_Potter_and_the_Order_of_the_Phoenix
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,320,https://openlibrary.org/books/OL26018592M/Harry_Potter_and_the_Sorcerers_Stone
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,0439554896,352,no response found
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,435,https://openlibrary.org/books/OL27305590M/Harry_Potter_and_the_Prisoner_of_Azkaban_(Book_3)
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,0439682584,2690,https://openlibrary.org/books/OL7514736M/Harry_Potter_Paperback_Boxed_Set_(Books_1-5)
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,0976540606,152,https://openlibrary.org/books/OL8588088M/Unauthorized_Harry_Potter_and_the_Deathly_Hallows_News
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,3342,https://openlibrary.org/books/OL7515755M/Harry_Potter_Hardcover_Box_Set_(Books_1-6)
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,815,https://openlibrary.org/books/OL3420524M/The_ultimate_hitchhiker's_guide
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,0345453743,815,https://openlibrary.org/books/OL17044900M/The_ultimate_hitchhiker's_guide_to_the_galaxy
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,215,https://openlibrary.org/books/OL22622668M/The_hitchhiker's_guide_to_the_galaxy
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,0739322206,6,https://openlibrary.org/books/OL27289754M/The_Hitchhiker's_Guide_to_the_Galaxy
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,0517149257,815,https://openlibrary.org/books/OL801036M/The_Ultimate_Hitchhiker's_Guide
A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,544,https://openlibrary.org/books/OL23115638M/A_short_history_of_nearly_everything
Bill Bryson's African Diary,Bill Bryson,3.43,0767915062,55,https://openlibrary.org/books/OL24762003M/Bill_Bryson's_African_diary
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,0767910435,256,https://openlibrary.org/books/OL23246865M/Bryson's_dictionary_of_troublesome_words
In a Sunburned Country,Bill Bryson,4.07,0767903862,335,https://openlibrary.org/books/OL14432795M/In_a_sunburned_country
